section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.0,0.1,0.669842105263158,0.0362947964579367,0.6546334650082805,0.04074652186916025,7.377807326638504,1.1377621265625653,0.7077436396496595,0.038348457261270535,10,123,1,True,False,green!15,0.6698 ± 0.0363,0.6546 ± 0.0407,7.38 ± 1.14,0.7077 ± 0.0383,0.6698 $\pm$ 0.0363,0.6546 $\pm$ 0.0407,7.38 $\pm$ 1.14,0.7077 $\pm$ 0.0383
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.5,0.7,0.6694210526315789,0.03203089123375566,0.6606727498104841,0.03429237562846295,6.948612406607329,1.451072289685999,0.7072987626859446,0.03384328838823065,10,123,2,False,False,,0.6694 ± 0.0320,0.6607 ± 0.0343,6.95 ± 1.45,0.7073 ± 0.0338,0.6694 $\pm$ 0.0320,0.6607 $\pm$ 0.0343,6.95 $\pm$ 1.45,0.7073 $\pm$ 0.0338
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.5,0.1,0.6633684210526316,0.04240940954377516,0.647252274049467,0.04337070179676448,7.216481740072898,1.2313712643261479,0.7009036563325456,0.04480905220807607,10,123,3,False,False,,0.6634 ± 0.0424,0.6473 ± 0.0434,7.22 ± 1.23,0.7009 ± 0.0448,0.6634 $\pm$ 0.0424,0.6473 $\pm$ 0.0434,7.22 $\pm$ 1.23,0.7009 $\pm$ 0.0448
BERT,10,BERT student results for FS=10.,tab:bert_fs10,3.0,0.1,0.6620394736842106,0.05255441163120489,0.6469999296735699,0.05670499270809047,7.143610279866455,0.5481115730979373,0.699499513415821,0.055528086806222336,10,123,4,False,False,,0.6620 ± 0.0526,0.6470 ± 0.0567,7.14 ± 0.55,0.6995 ± 0.0555,0.6620 $\pm$ 0.0526,0.6470 $\pm$ 0.0567,7.14 $\pm$ 0.55,0.6995 $\pm$ 0.0555
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.0,0.5,0.6614605263157894,0.029496222194212916,0.6499548820396488,0.03413103033933092,7.500244673350001,1.2358980969617186,0.6988878075907133,0.03116520070568861,10,123,5,False,False,,0.6615 ± 0.0295,0.6500 ± 0.0341,7.50 ± 1.24,0.6989 ± 0.0312,0.6615 $\pm$ 0.0295,0.6500 $\pm$ 0.0341,7.50 $\pm$ 1.24,0.6989 $\pm$ 0.0312
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.5,0.1,0.6594605263157896,0.04701518920851764,0.6421729594099133,0.04958733193769985,7.826886826699896,1.366452528728283,0.6967746420130683,0.049675439730951475,10,123,6,False,False,,0.6595 ± 0.0470,0.6422 ± 0.0496,7.83 ± 1.37,0.6968 ± 0.0497,0.6595 $\pm$ 0.0470,0.6422 $\pm$ 0.0496,7.83 $\pm$ 1.37,0.6968 $\pm$ 0.0497
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.1,0.1,0.6593815789473685,0.024073398363586504,0.6540279137473675,0.020482354467524035,6.802223366759487,1.1252870110549424,0.6966912275823718,0.02543553837943243,10,123,7,False,False,,0.6594 ± 0.0241,0.6540 ± 0.0205,6.80 ± 1.13,0.6967 ± 0.0254,0.6594 $\pm$ 0.0241,0.6540 $\pm$ 0.0205,6.80 $\pm$ 1.13,0.6967 $\pm$ 0.0254
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.5,0.5,0.6577368421052633,0.033134146326957804,0.6475646306802038,0.03390853135892368,6.913434193267373,0.7821668485356255,0.6949534269428611,0.03500896873138874,10,123,8,False,False,,0.6577 ± 0.0331,0.6476 ± 0.0339,6.91 ± 0.78,0.6950 ± 0.0350,0.6577 $\pm$ 0.0331,0.6476 $\pm$ 0.0339,6.91 $\pm$ 0.78,0.6950 $\pm$ 0.0350
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.5,0.1,0.6559736842105263,0.05121692380539281,0.640063766034415,0.054115402217313556,7.055582019960032,1.3584424414133154,0.6930905046573057,0.054114920189209714,10,123,9,False,False,,0.6560 ± 0.0512,0.6401 ± 0.0541,7.06 ± 1.36,0.6931 ± 0.0541,0.6560 $\pm$ 0.0512,0.6401 $\pm$ 0.0541,7.06 $\pm$ 1.36,0.6931 $\pm$ 0.0541
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.0,0.3,0.6554342105263158,0.033350990821811456,0.6411661354229575,0.04046177850971621,7.2794733866279175,0.8957183014309962,0.6925205060475463,0.03523808289250202,10,123,10,False,False,,0.6554 ± 0.0334,0.6412 ± 0.0405,7.28 ± 0.90,0.6925 ± 0.0352,0.6554 $\pm$ 0.0334,0.6412 $\pm$ 0.0405,7.28 $\pm$ 0.90,0.6925 $\pm$ 0.0352
